"","Common_Name","n","mean_dC","std.dev_dC","mean_dN","std.dev_dN","mean_dS","std.dev_dS","min_dC","max_dC","min_dN","max_dN","min_dS"
"1","Cattle",9,-20.7,0.893028554974587,6.55555555555556,1.9066404427101,11.4166666666667,3.27011722521788,-21.7,-19,3.9,15.3,7.8
"2","Chicken",12,-18.55,0.844770006354607,9.80833333333333,0.896922347235086,14.5083333333333,1.25947920935118,-20.2,-17.3,7.8,16.2,12.2
"3","Goat",7,-19.6857142857143,0.367099311851582,4.95714285714286,0.921696159004587,12.3166666666667,1.99240223515902,-20.3,-19.2,3.9,14.8,9.2
"4","Grey Plover",1,-14.9,NA,10.3,NA,9.5,NA,-14.9,-14.9,10.3,9.5,9.5
"5","Kittiwake",1,-15.5,NA,13.9,NA,15.8,NA,-15.5,-15.5,13.9,15.8,15.8
"6","Partridge",2,-20.3,0.42426406871193,5.7,0.14142135623731,13.9,0,-20.6,-20,5.6,13.9,13.9
"7","Pig",7,-19.6285714285714,0.807701029082514,9.22857142857143,2.03937432048352,13.075,1.66007027963678,-20.3,-18,7.3,14.6,11.4
"8","Rabbit",7,-21.6142857142857,1.06681546581179,7.91428571428571,3.53337825667758,13.84,2.00074985942771,-23.2,-20.5,4,16.7,11.4
"9","Red Deer",7,-19.9714285714286,0.188982236504614,3.67142857142857,0.488924962594076,15.5,0.852447456836295,-20.3,-19.7,2.9,16.3,14.3
"10","Sheep",9,-19.9555555555556,1.11255461788524,6.66666666666667,1.60468065358812,11.5125,3.83608338208201,-20.8,-17.3,3.9,17.3,7
